Company,Type,Rating,Location,Number,Portfolio,Website,Directions Link,Directions
Northeast Contractors Inc, General contractor,4,"Newark, DE, United States", +1 302-408-7502,,0,"https://www.google.com/maps/dir//Northeast+Contractors+Inc,+87+Blue+Hen+Dr,+Newark,+DE+19713,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c7a9ec7878d333:0x65bf8e10783e1787?sa=X&ved=1t:57443&ictx=111",Directions
Tom McDonald contracting, General contractor,5,,+1 302-308-2256,"""He was on time,fairly priced & very enjoyable to work with!""",https://www.tommcdonaldcontracting.com,,
Michael A. Rumps Concrete & Construction LLC., Concrete contractor,4.8,"Newark, DE, United States", +1 302-377-8490,"""The job was done on time and on budget.""",0,"https://www.google.com/maps/dir//Michael+A.+Rumps+Concrete+%26+Construction+LLC.,+21+Merriman+Rd,+Newark,+DE+19713,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c77ba7255139b3:0xb383f7b8c1be84b9?sa=X&ved=1t:57443&ictx=111",Directions
G. Fedale Roofing and Siding, Roofing contractor,4.8,"Newport, DE, United States", +1 302-281-0460,"""The crew came out early one morning and finished by noon the following day.""",https://www.gfedale.com,"https://www.google.com/maps/dir//G.+Fedale+Roofing+and+Siding,+101+S+Mary+St,+Newport,+DE+19804,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c6fda1ffcd9b75:0x935166c0b29c8b91?sa=X&ved=1t:57443&ictx=111",Directions
M3 Contracting LLC, Construction company,4,"Newark, DE, United States", +1 302-781-3143,,http://m3contracting.net/,"https://www.google.com/maps/dir//M3+Contracting+LLC,+13+Garfield+Way,+Newark,+DE+19713,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c7a9e5e42cddc9:0x9ee53d508946159?sa=X&ved=1t:57443&ictx=111",Directions
Sun Chimney Cleaning & Chimney Repairs Serv, Home builder,5,"Newark, DE, United States", +1 302-237-8345,,http://www.sunbuildersinc.com,"https://www.google.com/maps/dir//Sun+Chimney+Cleaning+%26+Chimney+Repairs+Serv,+Newark,+DE+19702,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c7aa31b2367757:0xa1f27af41a334643?sa=X&ved=1t:57443&ictx=111",Directions
CTA Exteriors Inc, Roofing contractor,5,#VALUE!, +1 302-454-8557,"""The crew showed up on time, worked fast, and left everything spotless.""",https://ctaroofing.com,"https://www.google.com/maps/dir//CTA+Exteriors+Inc,+91+Blue+Hen+Dr,+Newark,+DE+19713,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0xacc23d125ce331c7:0xb0186075eaa89c97?sa=X&ved=1t:57443&ictx=111",Directions
THM Newark House, Home builder,5,"Newark, DE, United States", +1 302-496-6613,"""The detailed final report was excellent for our peace of mind.""",0,"https://www.google.com/maps/dir//THM+Newark+House,+118+Worral+Dr,+Newark,+DE+19711,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c770f046e184c7:0xa67f553cfa41634e?sa=X&ved=1t:57443&ictx=111",Directions
Sobieski Inc., HVAC contractor,4.7,"Newark, DE, United States", +1 877-707-1358,"""Workers were professional, on time and completed work with quality.""",http://www.sobieskiinc.com,"https://www.google.com/maps/dir//Sobieski+Inc.,+1325+Old+Cooch's+Bridge,+Newark,+DE+19713,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c6fd8f9c73b083:0xd37fa925e4557d50?sa=X&ved=1t:57443&ictx=111",Directions
Sweeten Contracting, General contractor,4.3,"Newark, DE, United States", +1 302-496-6620,"""Never has my chimney looked better.I heartily endorse Sweeten Contracting.""",0,"https://www.google.com/maps/dir//Sweeten+Contracting,+35+Salem+Church+Rd+%233,+Newark,+DE+19713,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c700ba7bc3682d:0x3883e85b917606f3?sa=X&ved=1t:57443&ictx=111",Directions
North Point Builders, Construction company,5,"Newark, DE, United States",+1 866-466-7266,,http://www.gonpbnow.com,"https://www.google.com/maps/dir//North+Point+Builders,+2911+Ogletown+Rd,+Newark,+DE+19713,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c7078b80ac5e9f:0x31656f9bafa48c68?sa=X&ved=1t:57443&ictx=111",Directions
Buildings Concepts of America, Construction company,5,"Newark, DE, United States", +1 302-292-0200,"""Great company very knowledgeable at what they build and friendly staff""",http://www.buildingconceptsofamerica.com,"https://www.google.com/maps/dir//Buildings+Concepts+of+America,+101+Peoples+Dr,+Newark,+DE+19702,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c7a9c3ab48cb25:0xd36e1a3b6594d43e?sa=X&ved=1t:57443&ictx=111",Directions
"Real Estate Contractors, Inc.", General contractor,5,#VALUE!, +1 302-307-2977,"""We will only be using them for big house projects from here on our.""",https://www.facebook.com,,
ALN Construction Inc, Dry wall contractor,5,"Newark, DE, United States", +1 302-292-1580,,0,"https://www.google.com/maps/dir//ALN+Construction+Inc,+104+Sandy+Dr,+Newark,+DE+19713,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c7a9149542a23d:0x712fdf8adf74075c?sa=X&ved=1t:57443&ictx=111",Directions
Jaws Contracting and Renovations, Construction company,5,,+1 302-332-8494,"""Quality work with a Knowledgeable and efficient staff.""",https://jawscontractingandreno.com,,
D & W Mason Contractors Inc, Masonry contractor,5,"Newark, DE, United States", +1 302-737-1337,,0,"https://www.google.com/maps/dir//D+%26+W+Mason+Contractors+Inc,+4+Briarcreek+Ct,+Newark,+DE+19711,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c7abe6e54fb0c3:0x6e1e57bb05f60e97?sa=X&ved=1t:57443&ictx=111",Directions
Expert Handyman and general contractor, Contractor,,"Newark, DE, United States", +1 609-213-3506,,http://ifixhouse.com,"https://www.google.com/maps/dir//Expert+Handyman+and+general+contractor,+505+W+Hummock+Ln,+Newark,+DE+19702,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c707e127f0dbbd:0x2d0d1867d5f7c9f8?sa=X&ved=1t:57443&ictx=111",Directions
De Barr & Sons Home Improvement LLC, General contractor,4.4,"Newark, DE, United States", +1 302-548-1943,,0,"https://www.google.com/maps/dir//De+Barr+%26+Sons+Home+Improvement+LLC,+234+King+William+St,+Newark,+DE+19711,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c7abb0aceae37f:0x9abfd6b11042c9fb?sa=X&ved=1t:57443&ictx=111",Directions
Alpha Construction LLC, Contractor,5,,+1 302-415-9840,"""Communication was open and consistent throughout the entire process.""",https://alphaconstructionde.com,,
V Colbert Group | Home Remodeling Newark, Remodeler,5,"Newark, DE, United States", +1 302-551-4624,"""V. Colbert did a great job punctual, professional knowledgeable.""",https://vcolbertgroup.com,"https://www.google.com/maps/dir//V+Colbert+Group+%7C+Home+Remodeling+Newark,+723+S+Old+Baltimore+Pike,+Newark,+DE+19702,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c7a95e79e8b17f:0xb46d56d9855744ec?sa=X&ved=1t:57443&ictx=111",Directions
Allura Bath & Kitchen, Kitchen remodeler,4.8,"Newark, DE, United States", +1 302-279-2797,"""The work was completed on time and on budget.""",https://www.alluragroup.com,"https://www.google.com/maps/dir//Allura+Bath+%26+Kitchen,+704+Interchange+Blvd,+Newark,+DE+19711,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c7a9696a356d71:0x18963d7aa5679a67?sa=X&ved=1t:57443&ictx=111",Directions
Christiana Excavating Co., Excavating contractor,5,"Newark, DE, United States", +1 302-738-8660,,https://cecde.net/,"https://www.google.com/maps/dir//Christiana+Excavating+Co.,+2016+Sunset+lake+rd,+18802+Swains+Private+Rd,+Newark,+DE+19702,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c70650a2f67015:0x3b64098a46246eb8?sa=X&ved=1t:57443&ictx=111",Directions
Koala Insulation of Newark, Insulation contractor,4.9,"Newark, DE, United States", +1 302-273-8476,"""The work was performed neatly and efficiently and looks great.""",http://koalainsulation.com,"https://www.google.com/maps/dir//Koala+Insulation+of+Newark,+26+Albe+Dr+Suite+5,+Newark,+DE+19702,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c7a99bd66c62c5:0x2338a1b4f717b9b6?sa=X&ved=1t:57443&ictx=111",Directions
Delaware Contractors Association, Non-profit organization,4.7,#VALUE!, +1 302-994-7442,,https://www.e-dca.org/,"https://www.google.com/maps/dir//Delaware+Contractors+Association,+527+Stanton+Christiana+Rd,+Newark,+DE+19713,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c70109b1fbbc25:0x3a0eec9dd44a26e5?sa=X&ved=1t:57443&ictx=111",Directions
"Nowland Associates, Inc.", Construction company,3.3,"Newark, DE, United States", +1 302-731-1333,,http://www.nowlandassociates.com,"https://www.google.com/maps/dir//Nowland+Associates,+Inc.,+2009+Ogletown+Rd,+Newark,+DE+19711,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c7aa0a47351035:0x3c95acdc360c8cc6?sa=X&ved=1t:57443&ictx=111",Directions
A-Del Construction Co, Road construction company,3.6,"Newark, DE, United States", +1 302-453-8286,"""Good please to wok""",https://www.a-del.com,"https://www.google.com/maps/dir//A-Del+Construction+Co,+351+Salem+Church+Rd,+Newark,+DE+19702,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c7074f28ae66e1:0xdc7851bcf78f5388?sa=X&ved=1t:57443&ictx=111",Directions
Newark General Contractors, General contractor,,"Newark, NJ, United States", +1 973-346-9477,,http://generalcontractornewark.com,"https://www.google.com/maps/dir//Newark+General+Contractors,+138+Orchard+St,+Newark,+NJ+07102,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c25392b07f6a11:0xb9e623c4f909d802?sa=X&ved=1t:57443&ictx=111",Directions
Atlantic Asphalt, Asphalt contractor,4.8,"Newark, DE, United States", +1 215-201-1260,"""This level of professionalism and punctuality and excellent work..""",0,"https://www.google.com/maps/dir//Atlantic+Asphalt,+3108+Compass+Wy,+Newark,+DE+19711,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c7ab0f150e15fd:0xf315a557c3144740?sa=X&ved=1t:57443&ictx=111",Directions
Handyman Mark, Handyman/Handywoman/Handyperson,4.1,"Newark, DE, United States", +1 302-454-1170,"""Performed quality work on time and on budget.""",http://www.handymanmarks.com,"https://www.google.com/maps/dir//Handyman+Mark,+213+Mulberry+Rd,+Newark,+DE+19711,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c7aa7408645ed7:0xef0cb1b00fd661a?sa=X&ved=1t:57443&ictx=111",Directions
Shelly Sons Electrical, Electrician,5,"Newark, DE, United States", +1 302-444-4595,,http://shellysons.com,"https://www.google.com/maps/dir//Shelly+Sons+Electrical,+818+Pencader+Dr+suite+c,+Newark,+DE+19702,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c7a9e04224a5c3:0x96cfc304dee73eee?sa=X&ved=1t:57443&ictx=111",Directions
Delaware Building and Construction Trades Council, Association / Organization,4.8,#VALUE!,+1 302-369-9600,,http://debuildingtrades.com,"https://www.google.com/maps/dir//Delaware+Building+and+Construction+Trades+Council,+308+Markus+Ct,+Newark,+DE+19713,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c7a96e5d2e1fc7:0x440ef9304c997b81?sa=X&ved=1t:57443&ictx=111",Directions
Pro Contractors Tree Removal and Handyman, Handyman/Handywoman/Handyperson,4.6,#VALUE!, +1 302-894-2611,"""Showed up on time and did a great job.""",0,,
Avanti Homes LLC, Contractor,5,"Newark, DE, United States", +1 302-981-1808,"""My old front door was removed and replaced with new door.""",http://www.avantihomesllc.com,"https://www.google.com/maps/dir//Avanti+Homes+LLC,+18+Albe+Dr+B,+Newark,+DE+19702,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c6fc3649c89bd9:0x60d4fb19867e79c0?sa=X&ved=1t:57443&ictx=111",Directions
All Buttoned Up, Contractor,5,"Newark, DE, United States", +1 302-502-7380,"""They did an excellent job and we had no leaks since then.""",http://www.allbuttonedup.co/,"https://www.google.com/maps/dir//All+Buttoned+Up,+101+Dallam+Rd,+Newark,+DE+19711,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c7abdbd016688f:0xa34f2f6a747ef6cb?sa=X&ved=1t:57443&ictx=111",Directions
Ash Home Improvements, General contractor,5,,+1 302-230-1426,"""They are on time, professional, and get the job done right the first time.""",https://ashhomeexpert.com,,
"Milestone Construction Company, Inc", Contractor,,"Newark, DE, United States", +1 302-442-4252,,https://milestonede.com,"https://www.google.com/maps/dir//Milestone+Construction+Company,+Inc,+4+Mill+Park+Ct+Suite+F,+Newark,+DE+19713,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c70097dc2fffff:0xe8da46bb9d5f3c40?sa=X&ved=1t:57443&ictx=111",Directions
Nichols Excavation, Excavating contractor,3.3,"Newark, DE, United States", +1 302-224-3032,,http://www.nicholsexcavation.com,"https://www.google.com/maps/dir//Nichols+Excavation,+324+Markus+Ct,+Newark,+DE+19713,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c7a96b82ce1455:0xdb81df57baff4e6b?sa=X&ved=1t:57443&ictx=111",Directions
Santo Stucco & Stone, Stucco contractor,4.8,"Newark, DE, United States", +1 302-521-9421,"""Vic made several trips to my house to discuss the scope of the stucco work.""",0,"https://www.google.com/maps/dir//Santo+Stucco+%26+Stone,+13+Metten+Rd,+Newark,+DE+19713,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c7a9f649365197:0x523eeaa17fae472b?sa=X&ved=1t:57443&ictx=111",Directions
Delaware Creative Hardscaping, Landscaper,4.7,"Newark, DE, United States", +1 302-399-8916,"""Great workmanship, crew was on time and were very professional.""",https://delawarecreativehardscaping.com,"https://www.google.com/maps/dir//Delaware+Creative+Hardscaping,+2201+Ogletown+Rd,+Newark,+DE+19713,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c7016bbe7badbf:0x1f62b430a73254c0?sa=X&ved=1t:57443&ictx=111",Directions
BML Concrete Designs, Concrete contractor,5,#VALUE!, +1 302-267-4205,"""Very impressed with the quality of work.""",https://www.bmlconcretedesigns.com,"https://www.google.com/maps/dir//BML+Concrete+Designs,+482+W+Chestnut+Hill+Rd,+Newark,+DE+19713,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c7a91d2cb27e41:0xf0c976142527eb43?sa=X&ved=1t:57443&ictx=111",Directions
Schlosser & Associates Mechanical Contractors, HVAC contractor,4.6,"Newark, DE, United States", +1 302-738-7333,"""They are very responsive, professional, knowledgeable and expedient.""",https://schlosserandassociates.com,"https://www.google.com/maps/dir//Schlosser+%26+Associates+Mechanical+Contractors,+2047+Sunset+Lake+Rd,+Newark,+DE+19702,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c7a9c58802ca6b:0x92ab59494af1d984?sa=X&ved=1t:57443&ictx=111",Directions
Floorguard, Flooring contractor,4.9,"Newark, DE, United States", +1 484-880-4302,"""They were on time, got done quick, and my floor looks great!!""",http://www.floorguardeast.com,"https://www.google.com/maps/dir//Floorguard,+1265+Old+Coochs+Bridge+Rd,+Newark,+DE+19713,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c6553b57305447:0x2f7596be22d4eb83?sa=X&ved=1t:57443&ictx=111",Directions
Class Roofing, Roofing contractor,5,"Newark, DE, United States", +1 302-405-2392,"""The crew was professional, efficient, and clearly took pride in their work.""",https://roofingwithclass.com,"https://www.google.com/maps/dir//Class+Roofing,+16+Ardmore+Rd,+Newark,+DE+19713,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c7a91f6739e66d:0xb3f9e084f8ae0c7a?sa=X&ved=1t:57443&ictx=111",Directions
"Air Temp Solutions - AC Repair, Heating Repair, Water Heater Repair & Plumbing Newark DE", HVAC contractor,4.9,"Newark, DE, United States", +1 302-497-4714,"""They arrived on time and completed the job quickly.""",https://www.airtempandplumbing.com,"https://www.google.com/maps/dir//Air+Temp+Solutions+-+AC+Repair,+Heating+Repair,+Water+Heater+Repair+%26+Plumbing+Newark+DE,+211+Lake+Dr+Suite+J,+Newark,+DE+19702,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c70bb681d4b5a7:0x9ccc1a49bd7b3ba6?sa=X&ved=1t:57443&ictx=111",Directions
All In Restorations, Construction company,5,,+1 800-636-7003,"""Worked with them on 2 kitchens and both turned out great""",https://www.allinrestorations.com,,
ProDeckRestore.com, Deck builder,5,"Newark, DE, United States", +1 302-500-0101,"""Price was fair and project was completed in a timely manner.""",https://prodeckrestore.com,"https://www.google.com/maps/dir//ProDeckRestore.com,+280+E+Main+St,+Newark,+DE+19711,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c7ab046df1ccf3:0xce26cf98ce75b8c1?sa=X&ved=1t:57443&ictx=111",Directions
Newark Co Inc, Insulation contractor,5,"Newark, DE, United States", +1 302-731-8970,,0,"https://www.google.com/maps/dir//Newark+Co+Inc,+68+Albe+Dr,+Newark,+DE+19702,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c7a9e1fd509747:0xdd9e7b8b8de2cd05?sa=X&ved=1t:57443&ictx=111",Directions
True Blue Mechanical, HVAC contractor,4.9,"Newark, DE, United States", +1 302-729-8783,"""They were always on time, professional, courteous, and clean.""",http://truebluemechanical.com,"https://www.google.com/maps/dir//True+Blue+Mechanical,+812+Pencader+Dr+A,+Newark,+DE+19702,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c701b60a26d845:0x43e82eccaf68d9b?sa=X&ved=1t:57443&ictx=111",Directions
"Poured Foundations of Delaware, Inc.", Concrete contractor,5,"Newark, DE, United States", +1 302-369-3764,,http://www.delawareconcrete.net/,"https://www.google.com/maps/dir//Poured+Foundations+of+Delaware,+Inc.,+409+Capitol+Tr,+Newark,+DE+19711,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c7abb7136962e9:0x8ff7dd01505d077?sa=X&ved=1t:57443&ictx=111",Directions
Master Interiors Inc, Dry wall contractor,4.2,"Newark, DE, United States", +1 302-368-9361,,https://www.masterinteriors.com,"https://www.google.com/maps/dir//Master+Interiors+Inc,+113+Sandy+Dr,+Newark,+DE+19713,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c7a96ca1092b65:0xa8a0ef626a1acfb?sa=X&ved=1t:57443&ictx=111",Directions
Ossandeep Associates LLC, Dry wall contractor,3.7,"Newark, DE, United States", +1 302-660-8545,,http://www.ossandeepassociates.com,"https://www.google.com/maps/dir//Ossandeep+Associates+LLC,+53+Mc+Millan+Way+Unit+A,+Newark,+DE+19713,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c7a99ce0c8e72d:0xd3e7e1b6451d157?sa=X&ved=1t:57443&ictx=111",Directions
"Horizon Services - Air Conditioning, Heating, Plumbing & Electrical", HVAC contractor,4.5,"Newark, DE, United States", +1 302-303-4975,"""He quickly diagnosed the problem and he expertly replaced the cracked pipe.""",https://www.horizonservices.com,"https://www.google.com/maps/dir//Horizon+Services+-+Air+Conditioning,+Heating,+Plumbing+%26+Electrical,+307+Ruthar+Dr,+Newark,+DE+19711,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c702bcd01f372f:0xb5432313a6a6216c?sa=X&ved=1t:57443&ictx=111",Directions
CTA Roofing & Waterproofing, Roofing contractor,5,"Newark, DE, United States", +1 302-454-8551,"""These guys are the BEST!""",https://ctaroofing.com,"https://www.google.com/maps/dir//CTA+Roofing+%26+Waterproofing,+91+Blue+Hen+Dr,+Newark,+DE+19713,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c7a9eb7a73669f:0x85ccc2f2f0408765?sa=X&ved=1t:57443&ictx=111",Directions
Pro Contractors, Contractor,3,#VALUE!, +1 302-894-2611,,https://procontractorsde.com,,
"Romano Masonry, Inc.", Masonry contractor,4.2,"Newark, DE, United States", +1 302-368-4155,"""Great construction business""",http://www.romanomasonry.com,"https://www.google.com/maps/dir//Romano+Masonry,+Inc.,+322+Markus+Ct,+Newark,+DE+19713,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c7a96c7622dafb:0xfadedb5899377af9?sa=X&ved=1t:57443&ictx=111",Directions
RP TILE, Tile contractor,5,#VALUE!, +1 302-766-3410,"""Very knowledgeable and extremely helpful!""",0,"https://www.google.com/maps/dir//RP+TILE,+0+Lynam+Lookout+Dr,+Newark,+DE+19702,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x662c0d7248bca569:0x128b96b8e3fad08f?sa=X&ved=1t:57443&ictx=111",Directions
Fixie Roofs, Roofing contractor,4.9,#VALUE!, +1 669-231-0718,"""They are professionals who deliver good work at a reasonable cost.""",https://fixie-roofs.ueniweb.com,,
Rew’s Delivery & Hauling Services, Delivery service,5,"Newark, DE, United States", +1 302-723-3877,"""Great pricing and they show up on time.""",https://rewhaul.com,"https://www.google.com/maps/dir//Rew%E2%80%99s+Delivery+%26+Hauling+Services,+30+Heather+Rd,+Newark,+DE+19702,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c707c9deb7cce5:0x79f2d2d97e2fffb5?sa=X&ved=1t:57443&ictx=111",Directions
